Root,CurNode,CurTime,NextTime
004719,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001564,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007085,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001273,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006133,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007086,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007087,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007088,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007089,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007090,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007091,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007092,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000662,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007093,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007094,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007095,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007096,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001225,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001226,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007097,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006162,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007098,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
000641,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007099,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007100,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002946,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007101,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002917,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007102,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007103,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002049,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007104,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001094,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004331,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007105,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006309,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007106,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001103,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001098,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007107,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007108,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007109,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003525,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001829,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007110,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007111,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007112,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006561,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007113,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006397,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001541,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007114,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007115,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007116,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006340,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007117,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002065,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002318,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003729,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007118,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001116,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005126,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002854,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007119,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007120,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005831,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007121,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007122,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007123,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005012,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007124,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007125,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006326,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006325,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007126,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001996,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007127,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007128,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002980,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
